,apple,banana,blackgram,chickpea,coconut,coffee,cotton,grapes,jute,kidneybeans,lentil,maize,mango,mothbeans,mungbean,muskmelon,orange,papaya,pigeonpeas,pomegranate,rice,watermelon
n,0.000991208173585871,0.010922075758938318,0.005456653871790295,0.003930060338192017,0.06955528485770046,0.02090251348853268,0.02982629442157403,0.0009180931033747398,0.05695142635934979,0.0027485731992742367,0.012872692717256735,0.02800768155879802,0.006866748390992692,0.015645046526688796,0.031985602699657466,0.014007753664511466,0.008156148017026929,0.031181655759403522,0.08928429109752914,0.02446641158524184,0.11831651428378617,0.012701790751561392
p,0.0037931164286318132,0.02041150888021928,0.0036988998558889663,0.0011549042797748313,0.02518486019979211,0.0170744784221914,0.01758632683583864,0.002341427486081569,0.014368864598602276,0.002827483485670037,0.008985419020065858,0.002318772372210651,0.0037652189476138176,0.008292026935952263,0.0035411403282323843,0.01177495682584718,0.0036990252620883795,0.02410529595283573,0.012464967049809001,0.010285320448484458,0.040039015625942975,0.0207832791692525
k,0.0525887842774071,0.00935061676027888,0.005863591924132554,0.003283217479841677,0.007649412362295537,0.001288666014043185,0.011241064872811377,0.007965327425044971,0.016686120776242118,0.0039247214736610235,0.0021732897753615533,0.025911443640585268,0.0023236857434362893,0.005446834171327615,0.003910216503021369,0.00733153574111114,0.013379052986095784,0.027102110513763437,0.009329211623069478,0.009793030750815302,0.047247175048745864,0.011830325002659908
temperature,0.0003653235407523461,0.006390891836935159,0.004240772931691576,0.0005974504548976587,0.00784008170128461,0.0016399704824810498,0.014022508902663273,0.0005604243739073089,0.018625788316685793,0.001486859910565185,0.006694818680220209,0.005822579394308446,0.0018833042345139572,0.002627735158268007,0.004368940415386588,0.017364108560137655,0.0012721711943533874,0.021157500831959622,0.003131782731187331,0.001483858614041792,0.03715023293900908,0.013065177357323812
humidity,0.001170033137440008,0.004508277359579851,0.0027464820502017145,0.0252632064794155,0.006722625731621788,0.09236048810439612,0.03987000483446248,0.007039670355262267,0.04030262013023811,0.02784289662332007,0.0034521366338470644,0.03277655679545622,0.0074741673877225575,0.027032847614997187,0.029738879251066885,0.002644701214335451,0.01206707371370113,0.011373977821072998,0.04192220352097964,0.005096418210896367,0.10741238677343133,0.010767046415303709
ph,0.0006604133544192187,0.004030942040716825,0.0019073344069730274,0.003212112255732501,0.0047491309334793015,0.00331221227027773,0.01008873641638033,0.0006227840292496572,0.035452047396037384,0.0017673667548130873,0.0010368122023037515,0.008310268704398558,0.000787294273590933,0.0031723578981740987,0.0022639986037461023,0.0015957509311798062,0.00306593339671829,0.004446312363586935,0.009003041381927977,0.00235600907245235,0.029040850668696536,0.002586161702114253
rainfall,0.007503691230448034,0.043264986452173936,0.009759807921373488,0.017185956998688186,0.03153919162341657,0.03103080923893874,0.15134043136373812,0.011764034479730966,0.10337852459854244,0.01210454502472269,0.02646125694650763,0.054362740896722536,0.007861127517134052,0.03659857689209264,0.03638174852044368,0.06141298115888347,0.01652387521923806,0.009765749351784517,0.09847217365924374,0.03223923130461275,0.4412721883666953,0.07560639793993887
